id,Hectare,Date,Age,Primary Fur Color,Highlight Fur Color,Location,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions
130,35E,10062018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,True,
131,11G,10132018,Adult,Gray,Cinnamon,Above Ground,In the Woods/Brush,False,False,True,False,True,,False,False,False,False,False,False,False,True,watching me
132,36I,10072018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,True,False,,False,False,False,False,True,True,False,False,
133,07A,10062018,Adult,Gray,White,Above Ground,in tree,False,False,False,False,True,,False,True,False,False,True,False,False,False,looked at us
134,07G,10182018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False,
135,14E,10082018,Adult,Gray,,Above Ground,,False,False,True,False,False,nest building,False,False,False,False,False,False,True,False,
136,03D,10102018,Adult,Cinnamon,White,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False,
137,35D,10132018,Adult,Gray,White,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
138,07F,10122018,Adult,Gray,,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,True,False,
139,18G,10132018,Adult,Gray,White,Ground Plane,,False,False,False,True,True,burying,False,False,False,False,False,False,False,True,
140,06F,10082018,Adult,Gray,Cinnamon,Above Ground,,False,True,False,False,False,,False,False,False,False,False,False,False,False,
141,09F,10132018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False,
142,38E,10102018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
143,33G,10132018,Adult,Gray,,Above Ground,shelter in hole in tree,False,False,True,False,False,,False,False,False,False,False,False,True,True,
144,39G,10182018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,False,dead (something ran over it),False,False,False,False,False,False,False,False,
145,32G,10132018,Juvenile,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
146,04D,10082018,Adult,Cinnamon,"Gray, White",Above Ground,on tree facing downward,False,True,False,False,False,chased #12,True,False,False,True,False,False,False,True,
147,06H,10082018,Adult,Cinnamon,"Gray, White",Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,False,False,
148,05E,10082018,Adult,Gray,,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,True,False,
149,15D,10172018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
150,16E,10142018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,True,False,False,
151,39H,10132018,Juvenile,Gray,"Cinnamon, White",Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False,
152,39C,10062018,Adult,Gray,,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False,unaware of
153,31A,10102018,Adult,Gray,White,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,False,False,
154,09F,10142018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,True,False,
155,21G,10072018,Adult,Gray,,Ground Plane,,False,False,False,True,False,,False,False,False,True,False,False,False,True,
156,02F,10062018,Adult,Gray,Cinnamon,Ground Plane,walking along path,False,False,False,False,True,,False,False,False,False,True,False,True,False,
157,20F,10072018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,True,True,,False,False,False,False,True,False,True,False,
158,35E,10062018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,False,False,False,True,,False,False,False,False,False,True,False,False,looking/begging for food
159,09G,10072018,Adult,Gray,White,Above Ground,,False,False,False,False,False,grooming,False,False,False,False,False,False,True,False,
160,05D,10182018,Adult,Gray,White,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
161,14F,10122018,Adult,Cinnamon,"Gray, White",Ground Plane,,False,False,False,True,True,,False,False,False,False,True,False,True,False,
162,23F,10182018,Adult,Cinnamon,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,True,False,
163,39A,10142018,Adult,Gray,White,Ground Plane,,False,True,False,False,False,,False,False,False,False,False,False,False,False,
164,13A,10142018,Adult,Gray,Cinnamon,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,True,child chasing
165,10B,10062018,Juvenile,Gray,Cinnamon,Above Ground,High in a tree,False,False,True,False,False,,False,False,False,False,False,False,True,False,
166,38B,10192018,Adult,Gray,White,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True,
167,09G,10072018,Adult,Gray,,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,False,False,
168,40B,10192018,Juvenile,Gray,White,Ground Plane,,True,True,False,False,False,,False,False,False,False,True,False,False,False,
169,35D,10132018,Juvenile,Gray,White,,,False,False,False,False,False,,False,False,False,False,False,False,False,False,
170,10G,10172018,Adult,Gray,,Ground Plane,,False,True,False,False,False,playing (with #9),False,False,False,False,False,False,True,False,
171,13C,10102018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False,
172,32C,10132018,Adult,Gray,,Ground Plane,,True,False,False,False,True,,False,False,False,False,True,True,False,False,
173,37F,10142018,,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True,
174,31D,10062018,Adult,Gray,,Above Ground,,False,False,False,True,False,,False,False,False,False,False,False,True,False,
175,15I,10122018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False,
176,19C,10182018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False,
177,10F,10192018,Adult,Black,White,Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,False,True,
178,18C,10182018,,Black,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
179,07B,10082018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
180,40E,10142018,Adult,Gray,White,Ground Plane,,True,False,False,False,True,,False,False,False,False,True,False,True,False,
181,38B,10192018,Adult,Gray,,Above Ground,,False,False,True,False,False,sitting still,False,True,False,False,False,False,False,False,
182,03B,10102018,Juvenile,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True,
183,19B,10192018,Juvenile,Gray,"Cinnamon, White",Ground Plane,,True,False,False,True,False,posing,False,False,False,False,False,False,True,True,indifferent then runs from
184,41B,10102018,Adult,Cinnamon,"Gray, White",Above Ground,,False,False,False,False,False,,True,False,False,True,False,True,False,False,mad!
185,04G,10062018,,Gray,White,Above Ground,tree,False,False,False,False,False,sitting in tree,False,False,False,False,False,False,True,False,
186,12F,10072018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,stared
187,03B,10102018,Juvenile,Gray,Cinnamon,Above Ground,,False,False,True,False,False,together w/ #7,False,False,False,False,False,False,True,False,
188,17H,10072018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,True,False,False,True,False,
189,38G,10202018,Adult,Gray,Cinnamon,Ground Plane,,True,False,False,False,False,,False,False,False,True,False,False,False,True,
190,04D,10082018,Adult,Cinnamon,"Gray, White",Ground Plane,,False,False,False,False,True,,False,False,False,True,False,False,True,False,
191,03G,10132018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True,
192,15H,10082018,Adult,Gray,,Ground Plane,lawn moving east over Park path,False,False,False,False,False,not sure walk-pause-walk,False,False,False,False,False,False,True,False,
193,14G,10132018,Adult,Gray,Cinnamon,Ground Plane,,False,False,True,False,False,,False,False,False,False,False,False,False,False,watching
194,05D,10202018,Adult,,,Above Ground,,False,False,False,False,True,,False,False,False,False,False,False,False,False,
195,05C,10062018,Adult,Cinnamon,White,Above Ground,,True,False,True,True,False,,False,False,False,False,False,False,True,False,
196,42H,10192018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
197,38A,10132018,Adult,Gray,Cinnamon,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,True,False,
198,07G,10182018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False,
199,31A,10102018,Adult,Gray,,Ground Plane,,False,False,False,True,True,jumping,False,False,False,True,True,False,True,False,eventually ran from lawnmower (tail flag)
200,22C,10132018,Juvenile,Cinnamon,Gray,Ground Plane,,False,False,False,True,True,eating (mushroom),False,False,False,False,False,False,False,True,
201,36F,10122018,Adult,Gray,White,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True,
202,05C,10062018,Adult,Gray,Cinnamon,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,True,False,
203,13H,10102018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
204,10F,10192018,Juvenile,Gray,Cinnamon,Ground Plane,"Behind fence, grass",True,False,False,False,False,,False,False,False,False,True,False,False,True,
205,05I,10082018,Adult,Black,Cinnamon,Above Ground,in tree by arsenal - climbing,False,False,True,True,False,,False,False,False,True,False,False,False,False,
206,16D,10102018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
207,21G,10142018,Adult,Gray,White,Above Ground,,False,True,True,False,False,,False,False,False,False,False,False,False,False,
208,22B,10142018,,Gray,Cinnamon,Ground Plane,,False,False,False,True,False,eating (eats with head tilted far to the right (tooth issue?)),False,False,False,False,False,False,False,False,
209,03D,10062018,Adult,Cinnamon,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,True,False,False,approaches (food stand)
210,39H,10072018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
211,06D,10202018,Adult,Gray,,Ground Plane,Baseball field,False,False,False,False,True,,False,False,False,False,False,False,True,False,
212,12E,10182018,Juvenile,Cinnamon,,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False,
213,14D,10192018,Adult,Gray,,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,False,False,
214,03E,10082018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True,
215,17F,10202018,Adult,Gray,Cinnamon,Above Ground,,False,False,True,True,False,,False,False,False,False,False,False,False,False,
216,22D,10122018,Adult,Gray,"Black, White",Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
217,08A,10132018,Juvenile,,,Above Ground,fence,True,True,True,True,False,playing tag together,False,False,False,False,False,True,False,False,
218,07E,10062018,Adult,Gray,,Ground Plane,under a tree,False,False,False,True,False,,False,False,False,False,False,False,False,False,
219,42G,10142018,Adult,Cinnamon,Gray,Above Ground,on fence,True,False,False,False,False,prancing,False,False,False,False,False,False,False,True,
220,28C,10062018,Adult,Gray,,Ground Plane,Near rock,True,False,False,False,False,,False,False,False,False,False,False,False,True,dog
221,02D,10072018,Adult,Gray,,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False,
222,32E,10072018,Adult,Black,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False,
223,12C,10132018,Adult,Gray,,Ground Plane,,False,False,False,False,True,burying,False,False,False,False,False,False,True,False,
224,08F,10122018,Adult,Gray,,Above Ground,,False,False,False,False,False,,False,False,False,False,False,False,False,False,
225,02H,10062018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,True,True,False,False,,False,False,False,False,False,True,False,False,
